id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
,"If the teacher is using Math Kit, then which TLM is used more frequently ?","If the teacher is using Math Kit, then which TLM is used more frequently ?",Academic,"{Square counters,Number Line & Cloth Clips,Abacus,Base Ten Blocks and Place Value Mat,Fraction Shapes,Fraction Strips,Decimal unit,Decimal place value strips,Dice,Measuring tape,Geo Board,Clock and Protractor,Weighing balance,Geosolid shapes with nets,Play Money Notes and Coins,Tangrams,Concept cards for Maths}",True,2,AC,,,ಶಿಕ್ಷಕರು ಕಿಟ್ ಬಳಸುತ್ತಿದ್ದಲ್ಲಿ ಯಾವ ಕಲಿಕೋಪಕರಣ ಹೆಚ್ಚು ಉಪಯೋಗಕ್ಕೆ ಬಂದಿದೆ ?,"{ಚೌಕಳಿ ಬಿಲ್ಲೆಗಳು,ಸಂಖ್ಯಾ ಮಣಿಗಳು,ಅಬ್ಯಾಕಸ್,ಬೇಸ್ ಟೆನ್ ಬ್ಲಾಕ್ ಗಳು ಮತ್ತು ಸ್ಥಾನ ಬೆಲೆ ಸೂಚಿ,ಭಿನ್ನರಾಶಿ ಆಕಾರಗಳು,ಭಿನ್ನರಾಶಿ ಪಟ್ಟಿ,ದಶಾಂಶ ಸ್ಥಾನ ಮೌಲ್ಯ ಪಟ್ಟಿಗಳು,ದಶಮಾಂಶ ಸೆಟ್,ದಾಳಗಳು,ಅಳತೆ ಟೇಪು,ಜಿಯೋ ಬೋರ್ಡ್,ಸಮಯ ಮತ್ತು ಕೋನಮಾಪಕ,ತೂಕದ ಸಮತೋಲನ,ಘನವಸ್ತುಗಳು ಮತ್ತು ಜಾಲಗಳು,ಆಟಿಕೆ ಹಣ,ಟ್ಯಾನ್ಗ್ರಾಮ್ಸ್ ,ಪರಿಕಲ್ಪನೆ ಕಾರ್ಡ್ಗಳು}"
,"If the teacher is using Math Kit, then which TLM is used least ?","If the teacher is using Math Kit, then which TLM is used least ?",Academic,"{Square counters,Number Line & Cloth Clips,Abacus,Base Ten Blocks and Place Value Mat,Fraction Shapes,Fraction Strips,Decimal unit,Decimal place value strips,Dice,Measuring tape,Geo Board,Clock and Protractor,Weighing balance,Geosolid shapes with nets,Play Money Notes and Coins,Tangrams,Concept cards for Maths}",True,2,AC,,,ಶಿಕ್ಷಕರು ಕಿಟ್ ಬಳಸುತ್ತಿದ್ದಲ್ಲಿ ಯಾವ ಕಲಿಕೋಪಕರಣ ಅತೀ ಕಡಿಮೆ ಉಪಯೋಗಕ್ಕೆ ಬಂದಿದೆ ?,"{ಚೌಕಳಿ ಬಿಲ್ಲೆಗಳು,ಸಂಖ್ಯಾ ಮಣಿಗಳು,ಅಬ್ಯಾಕಸ್,ಬೇಸ್ ಟೆನ್ ಬ್ಲಾಕ್ ಗಳು ಮತ್ತು ಸ್ಥಾನ ಬೆಲೆ ಸೂಚಿ,ಭಿನ್ನರಾಶಿ ಆಕಾರಗಳು,ಭಿನ್ನರಾಶಿ ಪಟ್ಟಿ,ದಶಾಂಶ ಸ್ಥಾನ ಮೌಲ್ಯ ಪಟ್ಟಿಗಳು,ದಶಮಾಂಶ ಸೆಟ್,ದಾಳಗಳು,ಅಳತೆ ಟೇಪು,ಜಿಯೋ ಬೋರ್ಡ್,ಸಮಯ ಮತ್ತು ಕೋನಮಾಪಕ,ತೂಕದ ಸಮತೋಲನ,ಘನವಸ್ತುಗಳು ಮತ್ತು ಜಾಲಗಳು,ಆಟಿಕೆ ಹಣ,ಟ್ಯಾನ್ಗ್ರಾಮ್ಸ್ ,ಪರಿಕಲ್ಪನೆ ಕಾರ್ಡ್ಗಳು}"
,Is the Math kit helpful in improving learning outcome in math ?,Is the Math kit helpful in improving learning outcome in math ?,Teaching,"{Yes,No,Can’t say}",True,1,AC,,,ಗಣಿತ ಕಿಟ್ ಉಪಯೋಗಿಸುವುದರಿಂದ ಮಕ್ಕಳ ಕಲಿಕಾ ಗುಣಮಟ್ಟ ಹೆಚ್ಚುತ್ತಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ,ಗೊತ್ತಿಲ್ಲ}"
,Does the teacher feel that the GKA methodology is aligned to the syllabus she/he is teaching ?,Does the teacher feel that the GKA methodology is aligned to the syllabus she/he is teaching ?,Teaching,"{Yes,No,Can’t say}",True,1,AC,,,GKA ವಿಧಾನ ಶಾಲಾ ಪಠ್ಯಕ್ರಮಕ್ಕೆ ಹೊಂದಿಕೊಂಡಿದೆ ಎಂದು ಶಿಕ್ಷಕರಿಗೆ ಅನಿಸುತಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ,ಗೊತ್ತಿಲ್ಲ}"
,Which concepts did the teacher feel was easy to teach using GKA TLMs ?,Which concepts did the teacher feel was easy to teach using GKA TLMs ,Teaching,"{Addition,Subtraction,Multiplication,Division,Decimal,Fractions,Shapes,Angles,Time,Measurement,Patterns,Data Handling,Factors/Multiples}",True,1,AC,,,ಯಾವ ಪರಿಕಲ್ಪನೆ ಕಲಿಸಲು GKA ಕಿಟ್ ಕಲಿಕೋಪಕರಣ ತುಂಬಾ ಸಹಕಾರಿಯಾಗಿದೆ ?,"{ಸಂಕಲನ,ವ್ಯವಕಲನ,ಗುಣಾಕಾರ,ಭಾಗಾಕಾರ,ದಶಮಾಂಶ,ಭಿನ್ನರಾಶಿ,ಆಕಾರಗಳು,ಕೋನಗಳು,ಸಮಯ,ಮಾಪನ,ವಿನ್ಯಾಸ,ದತ್ತಾಂಶ,ಅಪವರ್ತನ / ಅಪವರ್ತ್ಯಗಳು}"
,Has the teacher used the GKA teacher’s handbook ?,Has the teacher used the GKA teacher’s handbook ?,Teaching,"{Yes,No}",True,1,AC,,,ಶಿಕ್ಷಕರ ಕೈಪಿಡಿಯನ್ನು ಶಿಕ್ಷಕರು ಉಪಯೋಗಿಸಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Did the teacher find the GKA Teacher's manual useful ?,Did the teacher find the GKA Teacher's manual useful ?,Teaching,"{Yes,No}",True,1,AC,,,ಶಿಕ್ಷಕರ ಕೈಪಿಡಿ ಶಿಕ್ಷಕರಿಗೆ ತುಂಬಾ ಪ್ರಯೋಜನಕಾರಿಯಾಗಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Does the teacher get required help on GKA ?,Does the teacher get required help on GKA ?,Teaching,"{Yes,No}",True,1,AC,,,ಶಿಕ್ಷಕರಿಗೆ GKA ಬಗ್ಗೆ ಸಹಾಯ ಸಿಗುತ್ತಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,"If the teacher has any questions regarding the GKA kit, teaching methodology whom do they reach out to ?","If the teacher has any questions regarding the GKA kit, teaching methodology whom do they reach out to ?",Teaching,"{CRPs,BRPS,HMs,DIET,Akshara staff,Other Teachers}",True,1,AC,,,ಶಿಕ್ಷಕರಿಗೆ GKA ಬಗ್ಗೆ ಅಥವಾ ಬೋಧನಾ ವಿಧಾನದ ಬಗ್ಗೆ ಯಾರು ಸಹಾಯ ಮಾಡುತ್ತಾರೆ ?,"{ಸಿ.ಆರ್.ಪಿ,ಬಿ.ಆರ್.ಪಿ,ಮುಖ್ಯೋಪಾಧ್ಯಾಯ,ಡಯಟ್,ಅಕ್ಷರ ಶಿಬ್ಬಂದಿ,ಬೇರೆ ಶಿಕ್ಷಕರು}"
,Is the HM teaching math period ?,Is the HM teaching math period ?,Teaching,"{Yes,No}",True,1,AC,,,ಶಾಲಾ ಮುಖ್ಯ ಗುರುಗಳು ಗಣಿತ ಪಾಠ ಮಾಡುತ್ತಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Is the GKA trained teacher teaching math ?,Is the GKA trained teacher teaching math ?,Teaching,"{Yes,No}",True,1,AC,,,GKA ತರಬೇತಿ ಪಡೆದುಕೊಂಡ ಶಿಕ್ಷಕರೇ ಗಣಿತ ತರಗತಿಯಲ್ಲಿ ಪಾಠ ಮಾಡುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,what do you think of the GKA methodology and the kit ?,what do you think of the GKA methodology and the kit ?,Teaching,"{It is definitely helpful,It is delaying my syllabus coverage,It is creating chaos in the classroom}",True,1,AC,,,GKA ಕಲಿಕಾ ವಿಧಾನದ ಬಗ್ಗೆ ನಿಮ್ಮ ಅಭಿಪ್ರಾಯವೇನು ?,"{ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ,ಪಠ್ಯಕ್ರಮ ಮುಗಿಸಲು ಕಷ್ಟ ವಾಗುತ್ತಿದೆ,ತರಗತಿಯಲ್ಲಿ ತುಂಬಾ ಗೊಂದಲವಾಗುತ್ತಿದೆ}"
,Did any teachers/HMs/CRPs suggest any changes to the GKA teaching methodology ? or changes to the ILP Konnect app ?,Did any teachers/HMs/CRPs suggest any changes to the GKA teaching methodology ? or changes to the ILP Konnect app ?,Teaching,"{Yes,No}",True,1,AC,,,ಶಿಕ್ಷಕರು /ಸಿ ಆರ್ ಪಿ ಅಥವಾ ಮುಖ್ಯ ಗುರುಗಳು GKA ಅಥವಾ ILP Konnect ಬಗ್ಗೆ ಏನಾದರೂ ಸಲಹೆ ಅಥವಾ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತ ಪಡಿಸಿದರೆ ?,"{ಹೌದು,ಇಲ್ಲ}"
,How often does the teacher use the GKA math TLMs in the classroom ?,How often does the teacher use the GKA math TLMs in the classroom ?,Teaching,"{Everyday,Twice in a week,Once in a week,Very rare,Depending on the requirement}",True,1,AC,,,GKA ಕಿಟ್ ಎಷ್ಟು ಬಾರಿ ಉಪಯೋಗಿಸುತ್ತೀರಾ ?,"{ಪ್ರತಿದಿನ,ವಾರಕ್ಕೊಮ್ಮೆ ,ವಾರಕ್ಕೆ ಎರಡು ಬಾರಿ,ಬೇಕಾದಾಗ,ತುಂಬಾ ವಿರಳ}"
,Did you see the GKA kit used by the students during your visit ?,Did you see the GKA kit used by the students during your visit ?,Teaching,"{Yes,No}",True,1,AC,,,ಮಕ್ಕಳು GKA ಕಿಟ್ ಬಳಸುವುದನ್ನು ನೀವು ವೀಕ್ಷಿಸಿದ್ದೀರಾ ?,"{ಹೌದು,ಇಲ್ಲ}"
,How many children were present in class 4 during your visit ?,How many children were present in class 4 during your visit ?,Teaching,"{Less than 10,Between 10 and 24,More than 25}",True,1,AC,,,ನೀವು ತರಗತಿ ಭೇಟಿ ನೀಡಿದಾಗ 4ನೇ ತರಗತಿಯಲ್ಲಿ ಎಷ್ಟು ಮಕ್ಕಳು ಹಾಜರಿದ್ದರು ?,"{10 ಕ್ಕಿಂತ ಕಡಿಮೆ,10 ರಿಂದ 24ರ ನಡುವೆ,25 ಕ್ಕೂ ಹೆಚ್ಚು}"
,How many children were present in class 5 during your visit ?,How many children were present in class 5 during your visit ?,Teaching,"{Less than 10,Between 10 and 24,More than 25}",True,1,AC,,,ನೀವು ತರಗತಿ ಭೇಟಿ ನೀಡಿದಾಗ 5ನೇ ತರಗತಿಯಲ್ಲಿ ಎಷ್ಟು ಮಕ್ಕಳು ಹಾಜರಿದ್ದರು ?,"{10 ಕ್ಕಿಂತ ಕಡಿಮೆ,10 ರಿಂದ 24ರ ನಡುವೆ,25 ಕ್ಕೂ ಹೆಚ್ಚು}"
,Did the children answer the question you asked using the GKA kit ?,Did the children answer the question you asked using the GKA kit ?,Teaching,"{Yes,No}",True,1,AC,,,ಮಕ್ಕಳಿಗೆ ಗಣಿತ ಕಿಟ್ ಉಪಯೋಗಿಸಿ ಗಣಿತಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಪ್ರಶ್ನೆ ಕೇಳಿದಾಗ ಮಕ್ಕಳು ಸರಿಯಾಗಿ ಉತ್ತರಿಸಿದರೆ ?,"{ಹೌದು,ಇಲ್ಲ}"
